2019-03-24 16:30:02.4657 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get | INFO | Start getting all customers. |  | 

2019-03-24 16:30:23.2645 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext | INFO | Retrieving customers to response. |  | 

2019-03-24 16:32:09.0266 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get | INFO | Start getting all customers. |  | 

2019-03-24 16:32:12.6390 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext | INFO | Retrieving customers to response. |  | 

2019-03-24 16:32:18.3094 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get | INFO | Start getting all customers. |  | 

2019-03-24 16:32:19.7092 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext | INFO | Retrieving customers to response. |  | 

2019-03-24 16:32:30.1828 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get | INFO | Start getting all customers. |  | 

2019-03-24 16:32:34.6290 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext | INFO | Retrieving customers to response. |  | 

2019-03-24 16:33:53.4756 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 16:39:44.0226 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 16:39:51.1986 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 16:40:08.2899 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 16:40:10.7357 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 16:41:16.3412 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 16:41:28.5048 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 16:42:13.8768 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 16:48:16.9093 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 16:56:25.2410 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 16:56:34.1854 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 16:58:50.3395 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 16:59:00.4986 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:00:44.4538 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

